Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/9/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
China,CHN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,1.440000057,1.519999981,1.5,1.450000048,1.450000048,1.539999962,1.580000043,1.710000038,1.769999981,1.850000024,1.919999957,2,2.069999933,2.140000105,2.200000048,2.230000019,2.25,2.25999999,2.289999962,2.329999924,2.369999886,2.400000095,2.480000019,2.539999962,2.559999943,2.579999924,2.599999905,2.619999886,2.630000114,2.630000114,2.609999895,2.549999952,2.549999952,2.529999971,2.519999981,2.519999981,2.519999981,2.450000048,2.2,3,2.45,2.23,,,4.2,3.56,3.8,4.2,,,,,,,
Cote d'Ivoire,CIV,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.348769546,,,,,,,,,,1.156100035,,,,,,,,,,,,,,,,,,,0.828499973,0.81160003,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,
Cameroon,CMR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.00226593,,,,,,,,,,1.75150001,,,,,2.465899944,,,,,,,,,,,,,,2.59829998,2.553299904,,,,,,,,,,,,,,,,1.5,,,,1.3,,,,,,,,,
"Congo, Dem. Rep.",COD,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,5.674036503,,,,,,,,,,3.323400021,,,,,3.225300074,,,,,,,,,,,,1.593099952,,,1.426800013,,,,,,,,,,,,,,,1.1,0.8,,,,,,,,,,,,,
"Congo, Rep.",COG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.757085085,,,,,,,,,,4.387199879,,,,,,,,,,,,,,,,,,,,3.349999905,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,
Colombia,COL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.575547218,,,,,,,,,,2.097300053,,,,,,,,,,1.564100027,,,,,,,,,1.251099944,1.366700053,,,1.299999952,,,1.460000038,,,,,,,1.100000024,1.2,,1,1,,,,1.4,1.5,1.5,1.5,,,,,
Comoros,COM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.124900103,2.761600018,,,,,,,,,,,,,,,,2.2,,,,2.2,,,,,,,,,
Cabo Verde,CPV,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,1.408200026,,,,,,,,,,2.1868999,,,,,,,,1.5977,,,,1.583099961,,,,,,,,,,,,,2.1,,,2.1,,2.1,,,,,,,,,
Costa Rica,CRI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.790777206,,,,,,,,,,3.939599991,,,,,,,,,,3.314399958,,,,,,,,,,2.5,,,,1.793900013,1.779999971,1.75,1.710000038,1.679999948,,,,,1.399999976,1.4,,1.3,1.3,1.2,,1.2,1.2,1.2,1.1,1.1,1.2,,,,
Caribbean small states,CSS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,5.054240285,,,,,,,,,,4.995971744,,,,,4.990418661,,,,,,,,,,,,,,,3.620071568,,,2.821147878,,3.091515763,3.479443251,,,,,2.492976553,,2.531527002,,2.442573593,2.556564548,2.182279821,,2.300534034,2.324797475,,2.354723917,2.267233925,,,,,,
